sample	tissue	condition	sex	Code_Xavi	Day_sacrif	ID_code	ID
H29	Hippocampus 	stress	M	26	43009	M380	950
H3	Hippocampus 	control	M	1	40452	M178	947
H30	Hippocampus 	stress	F	27	43009	F844	951
H31	Hippocampus 	stress	M	28	43009	M5288	953
H32	Hippocampus 	stress	F	29	43009	F819	954
H33	Hippocampus 	stress	M	30	43009	M644	948
H34	Hippocampus 	stress	F	31	43009	F817	949
H35	Hippocampus 	control	M	32	40452	M976	976
H36	Hippocampus 	stress	M	33	43009	M194	979
H37	Hippocampus 	stress	M	34	43009	M902	978
H38	Hippocampus 	stress	F	35	43009	F834	982
H39	Hippocampus 	stress	M	36	43009	M158	981
H4	Hippocampus 	control	M	2	40452	M191	945
H40	Hippocampus 	stress	F	37	43009	F814	980
H41	Hippocampus 	stress	F	38	43009	F815	984
H42	Hippocampus 	stress	M	39	43009	M642	983
H43	Hippocampus 	stress	F	40	43009	F835/F818	934
H44	Hippocampus 	stress	M	41	43009	M249	952
H47	Hippocampus 	stress	F	43	45566	F848	965
H49	Hippocampus 	stress	F	45	45566	F837	967
H5	Hippocampus 	control	F	3	40452	F829	943
H50	Hippocampus 	stress	F	46	45566	F816	968
H51	Hippocampus 	stress	M	47	45566	M646	969
H52	Hippocampus 	stress	M	48	45566	M424	964
H53	Hippocampus 	stress	F	49	45566	F839	966
H6	Hippocampus 	control	F	4	40452	F823	942
H60	Hippocampus 	control	F	56	40452	F831	973
H62	Hippocampus 	stress	M	58	45566	M415	935
H63	Hippocampus 	stress	M	59	45566	M267	937
H66	Hippocampus 	stress	F	62	45566	F824	938
H67	Hippocampus 	stress	M	63	45566	M917	939
H7	Hippocampus 	control	F	5	40452	F842	941
H7	Hippocampus 	control	F	5	40452	F842	941
H8	Hippocampus 	control	M	6	40452	M376	944
H9	Hippocampus 	control	M	7	40452	M353	940
H9	Hippocampus 	control	M	7	40452	M353	940
